,setup,network,precision,accuracy,recall
0,HeLa | MCF-7 | MDA MB 231,ResNet,"[0.85, 0.02]","[0.85, 0.02]","[0.85, 0.02]"
1,HeLa | MCF-7 | MDA MB 231,Inception,"[0.81, 0.04]","[0.81, 0.04]","[0.81, 0.04]"
2,HeLa | MCF-7 | MDA MB 231,MCDCNN,"[0.76, 0.03]","[0.75, 0.03]","[0.75, 0.03]"
3,HeLa | LCLC-103H | MC3T3-E1 | MCF-7 | MDA MB 231,ResNet,"[0.68, 0.04]","[0.66, 0.03]","[0.66, 0.03]"
4,HeLa | LCLC-103H | MC3T3-E1 | MCF-7 | MDA MB 231,Inception,"[0.71, 0.02]","[0.7, 0.02]","[0.7, 0.02]"
5,HeLa | LCLC-103H | MC3T3-E1 | MCF-7 | MDA MB 231,MCDCNN,"[0.6, 0.04]","[0.58, 0.03]","[0.58, 0.03]"
6,MCF-7 | MDA MB 231,ResNet,"[0.8, 0.01]","[0.8, 0.01]","[0.8, 0.01]"
7,MCF-7 | MDA MB 231,Inception,"[0.81, 0.02]","[0.81, 0.02]","[0.81, 0.02]"
8,MCF-7 | MDA MB 231,MCDCNN,"[0.77, 0.02]","[0.77, 0.01]","[0.77, 0.01]"
9,HeLa | LCLC-103H | MCF-7 | MDA MB 231,ResNet,"[0.72, 0.02]","[0.71, 0.03]","[0.71, 0.03]"
10,HeLa | LCLC-103H | MCF-7 | MDA MB 231,Inception,"[0.65, 0.02]","[0.64, 0.02]","[0.64, 0.02]"
11,HeLa | LCLC-103H | MCF-7 | MDA MB 231,MCDCNN,"[0.65, 0.03]","[0.64, 0.03]","[0.64, 0.03]"
12,Breastcancer | HeLa | LCLC-103H,ResNet,"[0.84, 0.02]","[0.83, 0.02]","[0.83, 0.02]"
13,Breastcancer | HeLa | LCLC-103H,Inception,"[0.83, 0.03]","[0.83, 0.03]","[0.83, 0.03]"
14,Breastcancer | HeLa | LCLC-103H,MCDCNN,"[0.79, 0.03]","[0.79, 0.03]","[0.79, 0.03]"
15,Breastcancer | HeLa | LCLC-103H | MC3T3-E1,ResNet,"[0.72, 0.03]","[0.72, 0.03]","[0.72, 0.03]"
16,Breastcancer | HeLa | LCLC-103H | MC3T3-E1,Inception,"[0.69, 0.05]","[0.68, 0.04]","[0.68, 0.04]"
17,Breastcancer | HeLa | LCLC-103H | MC3T3-E1,MCDCNN,"[0.65, 0.01]","[0.65, 0.01]","[0.65, 0.01]"
18,Breastcancer | HeLa,ResNet,"[0.97, 0.0]","[0.97, 0.0]","[0.97, 0.0]"
19,Breastcancer | HeLa,Inception,"[0.96, 0.01]","[0.96, 0.01]","[0.96, 0.01]"
20,Breastcancer | HeLa,MCDCNN,"[0.92, 0.01]","[0.92, 0.01]","[0.92, 0.01]"
